	Gene
1258	ARHGAP31
1259	ARHGAP32
1260	ARHGAP33
1261	ARHGAP35
1262	ARHGAP36
1263	ARHGAP39
1264	ARHGAP4
1265	ARHGAP40
1266	ARHGAP42
1267	ARHGAP44
1268	ARHGAP5
1269	ARHGAP6
1270	ARHGAP8
1271	ARHGAP9
1272	ARHGDIA
1273	ARHGDIB
1274	ARHGDIG
1275	ARHGEF1
1276	ARHGEF10
1277	ARHGEF10L
1278	ARHGEF11
1279	ARHGEF12
1280	ARHGEF15
1281	ARHGEF16
1282	ARHGEF17
1283	ARHGEF18
1284	ARHGEF19
1285	ARHGEF2
1286	ARHGEF25
1287	ARHGEF26
1288	ARHGEF28
1289	ARHGEF3
1290	ARHGEF33
1291	ARHGEF35
1292	ARHGEF37
1293	ARHGEF38
1294	ARHGEF39
1295	ARHGEF4
1296	ARHGEF40
1297	ARHGEF5
1298	ARHGEF6
1299	ARHGEF7
1300	ARHGEF9
1301	ARID1A
1302	ARID1B
1303	ARID2
1304	ARID3A
1305	ARID3B
1306	ARID3C
1307	ARID4A
1308	ARID4B
1309	ARID5A
1310	ARID5B
1311	ARIH1
1312	ARIH2
1313	ARIH2OS
1314	ARL1
1315	ARL10
1316	ARL11
1317	ARL13A
1318	ARL13B
1319	ARL14
1320	ARL14EP
1321	ARL14EPL
1322	ARL15
1323	ARL16
1324	ARL17A
1325	ARL17B
1326	ARL2
1327	ARL2BP
1328	ARL3
1329	ARL4A
1330	ARL4C
1331	ARL4D
1332	ARL5A
1333	ARL5B
1334	ARL5C
1335	ARL6
1336	ARL6IP1
1337	ARL6IP4
1338	ARL6IP5
1339	ARL6IP6
1340	ARL8A
1341	ARL8B
1342	ARL9
1343	ARMC1
1344	ARMC10
1345	ARMC12
1346	ARMC2
1347	ARMC3
1348	ARMC4
1349	ARMC5
1350	ARMC6
1351	ARMC7
1352	ARMC8
1353	ARMC9
1354	ARMCX1
1355	ARMCX2
1356	ARMCX3
1357	ARMCX4
1358	ARMCX5
1359	ARMCX6
1360	ARMS2
1361	ARMT1
1362	ARNT
1363	ARNT2
1364	ARNTL
1365	ARNTL2
1366	ARPC1A
1367	ARPC1B
1368	ARPC2
1369	ARPC3
1370	ARPC4
1371	ARPC4-TTLL3
1372	ARPC5
1373	ARPC5L
1374	ARPIN
1375	ARPP19
1376	ARPP21
1377	ARR3
1378	ARRB1
1379	ARRB2
1380	ARRDC1
1381	ARRDC2
1382	ARRDC3
1383	ARRDC4
1384	ARRDC5
1385	ARSA
1386	ARSB
1387	ARSD
1388	ARSE
1389	ARSF
1390	ARSG
1391	ARSH
1392	ARSI
1393	ARSJ
1394	ARSK
1395	ART1
1396	ART3
1397	ART4
1398	ART5
1399	ARTN
1400	ARV1
1401	ARVCF
1402	ARX
1403	AS3MT
1404	ASAH1
1405	ASAH2
1406	ASAH2B
1407	ASAP1
1408	ASAP2
1409	ASAP3
1410	ASB1
1411	ASB10
1412	ASB11
1413	ASB12
1414	ASB13
1415	ASB14
1416	ASB15
1417	ASB16
1418	ASB17
1419	ASB18
1420	ASB2
1421	ASB4
1422	ASB5
1423	ASB6
1424	ASB7
1425	ASB8
1426	ASB9
1427	ASCC1
1428	ASCC2
1429	ASCC3
1430	ASCL1
1431	ASCL2
1432	ASCL3
1433	ASCL4
1434	ASCL5
1435	ASF1A
1436	ASF1B
1437	ASGR1
1438	ASGR2
1439	ASH1L
1440	ASH2L
1441	ASIC1
1442	ASIC2
1443	ASIC3
1444	ASIC4
1445	ASIC5
1446	ASIP
1447	ASL
1448	ASMT
1449	ASMTL
1450	ASNA1
1451	ASNS
1452	ASNSD1
1453	ASPA
1454	ASPDH
1455	ASPG
1456	ASPH
1457	ASPHD1
1458	ASPHD2
1459	ASPM
1460	ASPN
1461	ASPRV1
1462	ASPSCR1
1463	ASRGL1
1464	ASS1
1465	ASTE1
1466	ASTL
1467	ASTN1
1468	ASTN2
1469	ASUN
1470	ASXL1
1471	ASXL2
1472	ASXL3
1473	ASZ1
1474	ATAD1
1475	ATAD2
1476	ATAD2B
1477	ATAD3A
1478	ATAD3B
1479	ATAD3C
1480	ATAD5
1481	ATAT1
1482	ATCAY
1483	ATE1
1484	ATF1
1485	ATF2
1486	ATF3
1487	ATF4
1488	ATF5
1489	ATF6
1490	ATF6B
1491	ATF7
1492	ATF7IP
1493	ATF7IP2
1494	ATG10
1495	ATG101
1496	ATG12
1497	ATG13
1498	ATG14
1499	ATG16L1
1500	ATG16L2
1501	ATG2A
1502	ATG2B
1503	ATG3
1504	ATG4A
1505	ATG4B
1506	ATG4C
1507	ATG4D
1508	ATG5
1509	ATG7
1510	ATG9A
1511	ATG9B
1512	ATHL1
1513	ATIC
1514	ATL1
1515	ATL2
1516	ATL3
1517	ATM
1518	ATMIN
1519	ATN1
1520	ATOH1
1521	ATOH7
1522	ATOH8
