	ENSEMBL_ID
1071	ENST00000618240.4
1072	ENST00000465372.5
1073	ENST00000437606.6
1074	ENST00000608765.1
1075	ENST00000361729.2
1076	ENST00000374561.5
1077	ENST00000374555.7
1078	ENST00000612756.1
1079	ENST00000374550.7
1080	ENST00000443624.5
1081	ENST00000458455.1
1082	ENST00000418390.6
1083	ENST00000613537.4
1084	ENST00000609199.1
1085	ENST00000246151.8
1086	ENST00000415372.1
1087	ENST00000374524.1
1088	ENST00000374514.7
1089	ENST00000420982.5
1090	ENST00000374505.6
1091	ENST00000374503.7
1092	ENST00000374502.7
1093	ENST00000421070.1
1094	ENST00000374501.1
1095	ENST00000617979.4
1096	ENST00000374497.7
1097	ENST00000456977.5
1098	ENST00000429356.5
1099	ENST00000418277.5
1100	ENST00000425913.5
1101	ENST00000445705.1
1102	ENST00000374490.7
1103	ENST00000436439.6
1104	ENST00000235958.4
1105	ENST00000374479.3
1106	ENST00000374472.4
1107	ENST00000471915.5
1108	ENST00000334351.7
1109	ENST00000374468.1
1110	ENST00000579103.1
1111	ENST00000344989.10
1112	ENST00000453840.7
1113	ENST00000484146.6
1114	ENST00000374452.9
1115	ENST00000374453.7
1116	ENST00000343255.9
1117	ENST00000492112.2
1118	ENST00000338909.9
1119	ENST00000374434.3
1120	ENST00000270800.1
1121	ENST00000327535.5
1122	ENST00000327575.6
1123	ENST00000374421.7
1124	ENST00000374419.1
1125	ENST00000374418.3
1126	ENST00000361548.8
1127	ENST00000350501.9
1128	ENST00000356046.6
1129	ENST00000524724.5
1130	ENST00000236255.4
1131	ENST00000374409.5
1132	ENST00000337248.8
1133	ENST00000003583.12
1134	ENST00000438866.1
1135	ENST00000435187.1
1136	ENST00000374399.8
1137	ENST00000003912.7
1138	ENST00000358028.8
1139	ENST00000339255.2
1140	ENST00000432012.1
1141	ENST00000618490.4
1142	ENST00000538532.5
1143	ENST00000436717.6
1144	ENST00000616511.4
1145	ENST00000374395.8
1146	ENST00000425530.3
1147	ENST00000610732.4
